id,小区名称,所在区域,总价,单价,房屋户型,所在楼层,建筑面积,户型结构,套内面积,建筑类型,房屋朝向,建筑结构,装修情况,梯户比例,配备电梯,产权年限,挂牌时间,交易权属,上次交易,房屋用途,房屋年限,产权所属,抵押信息,房本备件
12,富裕家园,蓟州,210,10548元/平米,4室2厅1厨3卫,中楼层 (共5层),199.09㎡,跃层,暂无数据,板楼,南 北,混合结构,其他,一梯两户,集中供暖,无,2023-06-05,私产,2006-12-05,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
13,博智御园,蓟州,315,16665元/平米,4室2厅1厨3卫,低楼层 (共3层),189.02㎡,暂无数据,南 北,钢混结构,毛坯,暂无数据,集中供暖,null,null,null,2021-05-09,商品房,2017-06-27,别墅,满五年,非共有,"
                                有抵押 160万元 天津市津房置业 业主自还
                              ",已上传房本照片
14,宏泰公寓,红桥,83,15720元/平米,1室1厅1厨1卫,高楼层 (共6层),52.8㎡,平层,暂无数据,板塔结合,南,混合结构,简装,一梯四户,集中供暖,无,2023-06-06,商品房,2005-03-28,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
15,大运河府,北辰,202,15075元/平米,3室2厅1厨2卫,低楼层 (共30层),134㎡,平层,暂无数据,板塔结合,南 北,砖混结构,毛坯,一梯四户,集中供暖,暂无数据,2023-06-04,商品房,2023-06-09,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片
16,华纳豪园3期,开发区,530,28367元/平米,2室2厅1厨2卫,低楼层 (共26层),186.84㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯三户,集中供暖,有,2021-11-10,商品房,2021-04-19,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
17,凯旋家园,宝坻,102,7646元/平米,3室2厅1厨2卫,中楼层 (共5层),133.42㎡,平层,暂无数据,塔楼,南 北,混合结构,简装,一梯两户,集中供暖,无,2023-03-28,商品房,2009-04-28,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
18,旭水蓝轩,西青,182,17428元/平米,2室1厅1厨1卫,低楼层 (共6层),104.43㎡,平层,92.77㎡,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,2023-06-14,商品房,2007-02-14,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
19,远洋琨庭春华园,开发区,480,33341元/平米,3室1厅1厨2卫,低楼层 (共7层),143.97㎡,平层,暂无数据,暂无数据,南 北,钢混结构,其他,一梯两户,暂无数据,暂无数据,2022-07-11,商品房,2020-08-21,普通住宅,满两年,非共有,"
                                有抵押
                              ",已上传房本照片
20,泰达金色领地,宝坻,71.5,7714元/平米,2室1厅1厨1卫,高楼层 (共6层),92.7㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,2023-05-15,私产,2008-08-30,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片
21,铭邸世家花园,宝坻,180,13130元/平米,3室2厅1厨2卫,高楼层 (共17层),137.1㎡,平层,暂无数据,暂无数据,南 北,未知结构,毛坯,两梯两户,暂无数据,有,2023-05-29,商品房,2023-01-19,普通住宅,未满两年,非共有,"
                                有抵押 120万元 中国银行 业主自还
                              ",已上传房本照片
22,大通时尚花园,河东,280,29182元/平米,2室1厅1厨1卫,中楼层 (共5层),95.95㎡,平层,暂无数据,板楼,南 北,砖混结构,简装,一梯两户,集中供暖,无,2023-06-15,商品房,2004-07-06,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
23,尚都家园,红桥,229,26304元/平米,2室1厅1厨1卫,高楼层 (共33层),87.06㎡,平层,暂无数据,板楼,东北,钢混结构,精装,两梯六户,集中供暖,有,2023-06-06,商品房,2016-05-19,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片
24,旭日里,北辰,65,12130元/平米,1室1厅1厨1卫,高楼层 (共7层),53.59㎡,平层,暂无数据,板楼,东 西,钢混结构,简装,一梯四户,集中供暖,无,2023-06-09,商品房,1996-07-10,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
25,晓镇家园,塘沽,57,10858元/平米,1室1厅1厨1卫,中楼层 (共30层),52.5㎡,平层,43㎡,塔楼,东北,钢混结构,精装,三梯八户,集中供暖,有,2023-06-05,商品房,2015-07-27,普通住宅,满五年,非共有,"
                                有抵押 14万元 农行 业主自还
                              ",已上传房本照片
26,北斗花园,河北,450,30061元/平米,3室2厅1厨2卫,高楼层 (共25层),149.7㎡,平层,暂无数据,板楼,南 北,钢混结构,其他,两梯两户,集中供暖,有,2023-05-28,商品房,2010-11-05,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
27,蓝山花园西区,塘沽,98,11685元/平米,2室1厅1厨1卫,中楼层 (共32层),83.87㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,集中供暖,有,2023-05-28,商品房,2011-01-09,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
28,中加生态示范区班芙小镇,滨海新区,199,14327元/平米,3室2厅1厨2卫,中楼层 (共8层),138.9㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,2022-03-19,商品房,2021-06-07,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
29,苏州里,塘沽,115,11153元/平米,2室2厅1厨1卫,中楼层 (共6层),103.12㎡,平层,暂无数据,板楼,南 北,混合结构,其他,一梯两户,集中供暖,暂无数据,2023-06-12,商品房,2018-06-01,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
30,汇名园,和平,968,57164元/平米,3室2厅1厨2卫,中楼层 (共9层),169.34㎡,平层,暂无数据,板楼,东 南 北,钢混结构,精装,一梯两户,集中供暖,有,2023-03-16,商品房,2009-09-16,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
31,和畅园(滨海新区),滨海新区,75,12747元/平米,1室1厅1厨1卫,中楼层 (共15层),58.84㎡,平层,暂无数据,板楼,西南,钢混结构,精装,两梯六户,集中供暖,有,2023-06-04,商品房,2016-08-11,普通住宅,满五年,非共有,"
                                有抵押 290000万元 浦发银行 业主自还
                              ",已上传房本照片
32,新湖美丽洲,静海,126,10948元/平米,3室2厅1厨1卫,中楼层 (共11层),115.09㎡,暂无数据,暂无数据,板楼,东南,钢混结构,毛坯,一梯两户,集中供暖,暂无数据,2023-05-12,商品房,2020-05-02,普通住宅,满两年,非共有,"
                                有抵押 78万元 中国建设银行 业主自还
                              ",已上传房本照片
33,芳馨园,河东,182,20526元/平米,2室1厅1厨1卫,中楼层 (共7层),88.67㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,2023-06-13,私产,2020-11-17,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
34,恒大翡翠湾,武清,120,11499元/平米,3室2厅1厨1卫,高楼层 (共13层),104.36㎡,平层,78.66㎡,板楼,南 北,钢混结构,其他,一梯四户,集中供暖,暂无数据,2023-06-10,商品房,2020-04-16,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
35,怡宁公寓,开发区,156,14421元/平米,3室1厅1厨1卫,高楼层 (共6层),108.18㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯两户,集中供暖,无,2023-02-02,商品房,2018-01-30,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
36,弘景苑,开发区,158,14663元/平米,2室2厅1厨2卫,中楼层 (共29层),107.76㎡,跃层,暂无数据,板楼,南,钢混结构,精装,两梯三户,集中供暖,有,2023-06-05,商品房,2019-10-09,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
37,美华大厦,开发区,195,13285元/平米,3室1厅1厨1卫,高楼层 (共12层),146.79㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,2023-05-23,商品房,2018-05-08,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
38,天津海航城,宁河,110,7624元/平米,3室2厅1厨2卫,高楼层 (共7层),144.3㎡,平层,暂无数据,板楼,南 北,钢混结构,其他,一梯两户,自供暖,有,2023-02-11,商品房,2017-07-31,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
39,泊湖林奇郡,静海,130,6356元/平米,4室3厅1厨2卫,中楼层 (共4层),204.56㎡,跃层,暂无数据,板塔结合,南,钢混结构,毛坯,一梯三户,自供暖,暂无数据,2022-06-19,商品房,2019-04-29,普通住宅,满两年,非共有,"
                                有抵押
                              ",已上传房本照片
40,万隆桃香园,北辰,88,8196元/平米,2室1厅1厨1卫,高楼层 (共6层),107.38㎡,跃层,107.38㎡,板楼,南 北,混合结构,其他,一梯两户,集中供暖,无,2023-05-26,商品房,2009-07-09,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
41,蓝天花园,东丽,81,8485元/平米,1室1厅1厨2卫,高楼层 (共6层),95.47㎡,跃层,暂无数据,板楼,南,混合结构,其他,一梯三户,集中供暖,无,2023-06-05,私产,2004-10-15,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
42,瑞景花园,宝坻,123,9219元/平米,3室2厅1厨2卫,中楼层 (共28层),133.43㎡,平层,暂无数据,塔楼,南 北,钢混结构,毛坯,两梯三户,集中供暖,有,2019-10-12,商品房,2018-08-15,普通住宅,满两年,非共有,"
                                有抵押 业主自还
                              ",已上传房本照片
43,都旺新城菊芳园,北辰,160,16925元/平米,2室1厅1厨1卫,低楼层 (共6层),94.54㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,2023-06-12,私产,2009-06-08,普通住宅,满五年,非共有,"
                                有抵押 8万元 工商银行 客户偿还
                              ",已上传房本照片
44,汇泉园,开发区,185,16008元/平米,2室1厅1厨1卫,中楼层 (共6层),115.57㎡,平层,暂无数据,板楼,南 北,混合结构,其他,一梯两户,集中供暖,无,2023-06-02,商品房,2000-06-10,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
45,海尔格林小镇,津南,95,6784元/平米,3室2厅1厨2卫,低楼层 (共6层),140.05㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,暂无数据,2023-06-11,商品房,2018-12-21,普通住宅,满两年,非共有,"
                                有抵押 70万元
                              ",已上传房本照片
46,盛泰公寓,开发区,156,12912元/平米,3室2厅1厨2卫,中楼层 (共7层),120.82㎡,平层,暂无数据,板楼,南 北,钢混结构,其他,一梯四户,集中供暖,无,2023-06-06,商品房,2016-02-25,普通住宅,满五年,非共有,"
                                有抵押 30万元 中行
                              ",已上传房本照片
47,明珠湾,开发区,295,22554元/平米,3室2厅1厨1卫,中楼层 (共18层),130.8㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,集中供暖,有,2023-06-14,商品房,2013-06-14,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
48,河景园南区,宝坻,88,6219元/平米,3室1厅1厨2卫,低楼层 (共18层),141.51㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,集中供暖,有,2020-12-04,商品房,2019-07-09,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
49,台北花园,南开,413,40180元/平米,2室1厅1厨1卫,中楼层 (共18层),102.79㎡,平层,暂无数据,板楼,南,钢混结构,简装,一梯三户,集中供暖,有,2023-06-06,商品房,2003-08-14,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
50,尊品庭苑,开发区,326,15265元/平米,3室2厅1厨2卫,低楼层 (共16层),213.57㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,两梯两户,自供暖,有,2022-10-27,商品房,2018-10-27,普通住宅,满两年,非共有,"
                                有抵押 业主自还
                              ",已上传房本照片
51,加孚园,开发区,290,17818元/平米,3室1厅1厨2卫,中楼层 (共5层),162.76㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯三户,集中供暖,无,2022-09-13,商品房,2017-01-24,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
52,佳春里,红桥,56.5,13427元/平米,1室1厅1厨1卫,中楼层 (共6层),42.08㎡,平层,暂无数据,板楼,南,混合结构,简装,一梯三户,集中供暖,无,2023-05-28,商品房,2003-08-27,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
53,伴景湾家园,开发区,380,16456元/平米,4室2厅1厨3卫,高楼层 (共25层),230.93㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯两户,集中供暖,有,2020-05-16,商品房,2015-04-28,普通住宅,满五年,非共有,"
                                有抵押 180万元 中国银行 业主自还
                              ",已上传房本照片
54,泰达时代,开发区,298,20106元/平米,3室1厅1厨2卫,高楼层 (共12层),148.22㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,2021-02-25,私产,2007-11-06,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
55,路劲太阳城皓阳园,河东,265,21568元/平米,3室2厅1厨1卫,高楼层 (共33层),122.87㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,两梯四户,集中供暖,有,2023-03-04,商品房,2019-06-10,普通住宅,满两年,非共有,"
                                有抵押 228万元 渤海银行 业主自还
                              ",已上传房本照片
56,桐景园,开发区,357,20505元/平米,3室2厅1厨2卫,中楼层 (共5层),174.11㎡,复式,暂无数据,板塔结合,南 北,钢混结构,其他,一梯两户,集中供暖,无,2023-06-12,商品房,2015-04-22,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
57,玉翠园,武清,160,16178元/平米,3室1厅1厨1卫,低楼层 (共22层),98.9㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯四户,集中供暖,有,2023-06-13,商品房,2016-07-12,普通住宅,满五年,非共有,"
                                有抵押 5万元 建设银行 业主自还
                              ",已上传房本照片
58,水岸江南天湾园,河西,175,27340元/平米,2室1厅1厨1卫,高楼层 (共32层),64.01㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,三梯六户,集中供暖,有,2023-06-11,商品房,2010-11-24,普通住宅,满五年,共有,"
                                有抵押 59万元
                              ",已上传房本照片
59,欣荣馨苑,河东,146,22359元/平米,2室1厅1厨1卫,中楼层 (共24层),65.3㎡,平层,暂无数据,塔楼,东,钢混结构,简装,三梯十户,集中供暖,有,2023-06-12,商品房,2020-06-29,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
60,天津海航城,宁河,95.5,7198元/平米,3室2厅1厨2卫,中楼层 (共7层),132.68㎡,平层,暂无数据,板楼,北 南,钢混结构,其他,一梯两户,自供暖,暂无数据,2020-07-14,商品房,2018-12-26,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
61,碧桂园海昌天澜,塘沽,102,11680元/平米,2室2厅1厨1卫,低楼层 (共34层),87.33㎡,平层,暂无数据,板楼,南,钢混结构,简装,两梯四户,集中供暖,有,2023-06-10,商品房,2018-11-21,普通住宅,满两年,非共有,"
                                有抵押 20万元
                              ",已上传房本照片
62,汇泉园,开发区,174,13074元/平米,3室2厅1厨1卫,低楼层 (共5层),133.09㎡,平层,暂无数据,板楼,南 北,混合结构,其他,一梯两户,集中供暖,无,2021-11-18,商品房,1997-09-09,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
63,惠灵顿河庭花苑,红桥,349,36106元/平米,2室2厅1厨1卫,高楼层 (共32层),96.66㎡,平层,暂无数据,板楼,南,钢混结构,精装,两梯四户,集中供暖,有,2023-06-08,商品房,2019-08-28,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
64,浩天天娇源,南开,432,36321元/平米,2室2厅1厨1卫,低楼层 (共10层),118.94㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,2023-05-09,商品房,2015-05-09,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
65,伴景湾家园,开发区,365,16105元/平米,4室2厅1厨3卫,中楼层 (共25层),226.64㎡,平层,暂无数据,板楼,南 北,钢混结构,其他,两梯两户,集中供暖,有,2023-06-05,商品房,2020-10-09,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
66,李桃园,津南,120,13158元/平米,2室1厅1厨1卫,高楼层 (共24层),91.2㎡,平层,暂无数据,塔楼,南,钢混结构,精装,两梯四户,集中供暖,有,2023-06-15,商品房,2019-11-21,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
67,中昂安纳西小镇,静海,141,13414元/平米,3室2厅1厨2卫,高楼层 (共8层),105.12㎡,平层,83㎡,板楼,南,钢混结构,其他,一梯两户,集中供暖,有,2023-05-26,商品房,2021-04-05,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
68,红云新里,北辰,83,10072元/平米,2室1厅1厨1卫,高楼层 (共6层),82.41㎡,平层,暂无数据,板楼,南 北,混合结构,其他,一梯三户,集中供暖,无,2023-05-21,商品房,2013-01-30,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
69,花语轩,开发区,430,21957元/平米,4室1厅1厨2卫,低楼层 (共18层),195.84㎡,平层,暂无数据,板楼,南 北,钢混结构,其他,两梯三户,集中供暖,有,2023-05-28,商品房,2009-10-13,普通住宅,满五年,共有,"
                                无抵押
                              ",已上传房本照片
70,彩虹花园,南开,248,24739元/平米,2室1厅1厨1卫,中楼层 (共6层),100.25㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,2023-06-05,商品房,2017-05-22,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
71,复地湖滨广场,东丽,285,21932元/平米,4室2厅1厨2卫,高楼层 (共11层),129.95㎡,跃层,暂无数据,板塔结合,南 北,钢混结构,毛坯,一梯两户,集中供暖,有,2021-08-09,商品房,2017-07-20,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片
72,三和温泉花园天时园,河北,140,16983元/平米,2室2厅1厨1卫,中楼层 (共6层),82.44㎡,平层,暂无数据,板楼,南 北,混合结构,精装,一梯四户,集中供暖,无,2023-06-06,商品房,2020-01-09,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
73,保利拾光年,西青,179,18843元/平米,3室2厅1厨2卫,高楼层 (共18层),95㎡,平层,暂无数据,板塔结合,南 北,混合结构,毛坯,一梯两户,集中供暖,暂无数据,2022-12-31,商品房,2021-06-08,普通住宅,满两年,非共有,"
                                有抵押
                              ",已上传房本照片
74,季景兰庭［兰景园］,滨海新区,258,20389元/平米,3室1厅1厨2卫,高楼层 (共6层),126.54㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,一梯两户,集中供暖,有,2023-05-27,商品房,2023-02-27,普通住宅,未满两年,非共有,"
                                无抵押
                              ",已上传房本照片
75,磐石坊,蓟州,201,6186元/平米,5室2厅1厨3卫,低楼层 (共4层),324.96㎡,324.96㎡,南 北,钢混结构,其他,联排,自供暖,null,null,null,2023-05-16,商品房,2015-01-18,别墅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片
76,万通新城国际,开发区,190,15992元/平米,2室2厅1厨1卫,中楼层 (共33层),118.81㎡,平层,暂无数据,板楼,南 北,钢混结构,其他,两梯三户,集中供暖,有,2023-06-06,商品房,2014-02-09,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片
77,金香里,北辰,79,10973元/平米,2室1厅1厨1卫,高楼层 (共29层),72㎡,平层,暂无数据,板楼,北 南,钢混结构,毛坯,两梯六户,集中供暖,有,2023-03-30,商品房,2021-02-02,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
78,阳光新干线,开发区,535,23196元/平米,3室2厅1厨2卫,低楼层 (共6层),230.65㎡,复式,暂无数据,板楼,南 北,混合结构,精装,一梯两户,自供暖,无,2021-03-10,商品房,2004-01-08,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
79,伴景湾家园,开发区,228,19244元/平米,2室1厅1厨1卫,低楼层 (共18层),118.48㎡,平层,暂无数据,板楼,南 北,钢混结构,精装,两梯两户,集中供暖,有,2023-06-07,商品房,2012-01-07,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
80,翡翠半岛馨园,武清,46,12189元/平米,3室1厅1厨1卫,高楼层 (共4层),37.74㎡,复式,37.74㎡,板楼,南 北,混合结构,精装,一梯七户,集中供暖,有,2023-06-15,私产,2013-01-22,普通住宅,满五年,非共有,"
                                有抵押 15万元 客户偿还
                              ",已上传房本照片
81,颂景苑,开发区,509.1,36650元/平米,3室2厅1厨2卫,高楼层 (共10层),138.91㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,一梯两户,集中供暖,有,2022-10-20,商品房,2021-01-25,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
82,财富绿道丹庭,河北,219,23769元/平米,3室2厅1厨1卫,中楼层 (共30层),92.14㎡,平层,暂无数据,板楼,南 北,钢混结构,毛坯,两梯四户,集中供暖,有,2023-05-20,商品房,2019-04-01,普通住宅,满两年,共有,"
                                有抵押 143万元 天津市津房置换担保有限公司 业主自还
                              ",已上传房本照片
83,阳光南园,开发区,225,14544元/平米,3室2厅1厨2卫,中楼层 (共6层),154.71㎡,平层,暂无数据,板楼,南 北,混合结构,简装,一梯两户,集中供暖,无,2022-07-24,私产,2005-10-28,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片
84,尚皇公寓,静海,53,5673元/平米,2室1厅1厨1卫,低楼层 (共4层),93.43㎡,平层,暂无数据,暂无数据,南,混合结构,简装,一梯两户,暂无数据,暂无数据,2023-06-14,商品房,2016-04-01,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
85,松江城武台馨苑,西青,186,18329元/平米,2室1厅1厨1卫,中楼层 (共17层),101.48㎡,平层,暂无数据,板楼,南,钢混结构,其他,两梯五户,集中供暖,有,2023-06-13,限价商品房,2018-09-03,普通住宅,满两年,共有,"
                                无抵押
                              ",已上传房本照片
86,亨通花园东区北里,武清,137,12722元/平米,3室2厅1厨1卫,低楼层 (共6层),107.69㎡,平层,暂无数据,板楼,南 北,砖混结构,简装,一梯两户,集中供暖,暂无数据,2023-05-29,私产,2013-05-29,普通住宅,满五年,非共有,"
                                有抵押 40万元
                              ",已上传房本照片
87,景阳里,和平,389,52370元/平米,2室1厅1厨1卫,高楼层 (共8层),74.28㎡,平层,暂无数据,板楼,南 北,钢混结构,其他,一梯三户,集中供暖,无,2023-06-15,商品房,2008-09-16,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
88,颐滨花园,武清,145,15452元/平米,3室2厅1厨1卫,高楼层 (共11层),93.84㎡,跃层,暂无数据,板楼,南 北,钢混结构,简装,一梯两户,集中供暖,有,2023-06-12,商品房,2020-10-12,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
89,大唐印象唐雅苑,东丽,98,11142元/平米,3室1厅1厨1卫,高楼层 (共15层),87.96㎡,平层,暂无数据,板楼,南 北,钢混结构,简装,两梯四户,集中供暖,有,2023-06-08,商品房,2019-06-08,普通住宅,满两年,非共有,"
                                无抵押
                              ",已上传房本照片
90,融科瀚棠丰合园,开发区,215,23015元/平米,3室1厅1厨1卫,高楼层 (共23层),93.42㎡,平层,暂无数据,板塔结合,南 北,钢混结构,精装,两梯四户,集中供暖,有,2023-05-31,商品房,2016-03-03,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
91,怡园小区,开发区,205,16118元/平米,3室2厅1厨1卫,低楼层 (共6层),127.19㎡,平层,暂无数据,塔楼,东南,混合结构,其他,一梯两户,集中供暖,无,2023-06-15,商品房,2015-05-12,普通住宅,满五年,非共有,"
                                有抵押
                              ",已上传房本照片
92,健强新里,河西,158,34483元/平米,1室1厅1厨1卫,低楼层 (共7层),45.82㎡,平层,暂无数据,板楼,东,混合结构,简装,一梯两户,集中供暖,无,2023-06-05,商品房,2015-08-18,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
93,振河里,和平,253,42882元/平米,2室1厅1厨1卫,高楼层 (共7层),59㎡,平层,39.29㎡,板楼,南 北,混合结构,精装,一梯四户,集中供暖,无,2023-06-14,商品房,2016-02-14,普通住宅,满五年,非共有,"
                                无抵押
                              ",已上传房本照片
